"well_id","treatment","ind_num","rate","rsq","temp","date"
"B2","Acartia hudsonica",1,0.052446003851176,0.897,20,"2026-02-10"
"B3","Pseudocalanus",1,0.0447569937790381,0.916,20,"2026-02-10"
"B4","Pseudocalanus",1,0.009835907448025,0.91,20,"2026-02-10"
"C1","Pseudocalanus",1,0.0644461408505864,0.996,20,"2026-02-10"
"C3","Pseudocalanus",1,0.0448334722792822,0.991,20,"2026-02-10"
"D1","Acartia hudsonica",1,0.0522235131450899,0.919,20,"2026-02-10"
"D2","Acartia hudsonica",1,0.0452439901978204,0.94,20,"2026-02-10"
"D3","Pseudocalanus",1,0.00570970788872264,0.962,20,"2026-02-10"
"A2","Acartia hudsonica",1,0.0211928063481715,0.971,8,"2026-02-12"
"A4","Pseudocalanus",1,0.05260673349755,0.983,8,"2026-02-12"
"B1","Acartia hudsonica",1,0.0151052283680655,0.951,8,"2026-02-12"
"B3","Pseudocalanus",1,0.0369828237212589,0.989,8,"2026-02-12"
"B4","Acartia hudsonica",1,0.0273630690748388,0.954,8,"2026-02-12"
"C1","Acartia hudsonica",1,0.0128975634101755,0.87,8,"2026-02-12"
"C2","Acartia hudsonica",1,0.0325662888702461,0.964,8,"2026-02-12"
"C4","Pseudocalanus",1,0.0569471951081054,0.996,8,"2026-02-12"
"D3","Pseudocalanus",1,0.0338878845389277,0.977,8,"2026-02-12"
"D4","Pseudocalanus",1,0.0327453033299936,0.97,8,"2026-02-12"
"A1","Pseudocalanus",1,0.0520762552570395,0.993,14,"2026-02-12"
"A2","Acartia hudsonica",1,0.0349554849792122,0.979,14,"2026-02-12"
"A4","Acartia hudsonica",1,0.0380437700969785,0.947,14,"2026-02-12"
"B2","Pseudocalanus",1,0.0680078981548345,0.985,14,"2026-02-12"
"C1","Acartia hudsonica",1,0.0260003482870543,0.981,14,"2026-02-12"
"C2","Pseudocalanus",1,-0.00261195400321231,0.143,14,"2026-02-12"
"C4","Pseudocalanus",1,0.0775038794291152,0.986,14,"2026-02-12"
"D1","Pseudocalanus",1,0.093393515478606,0.996,14,"2026-02-12"
"D2","Acartia hudsonica",1,0.0344633348685096,0.945,14,"2026-02-12"
"D3","Acartia hudsonica",1,0.0401826065659468,0.954,14,"2026-02-12"
"A2","Pseudocalanus",1,0.0732280370999074,0.94,18,"2026-02-12"
"B1","Pseudocalanus",1,0.0762449905804927,0.997,18,"2026-02-12"
"B2","Acartia hudsonica",1,0.0206581597227458,0.765,18,"2026-02-12"
"B3","Acartia hudsonica",1,0.0253129636895774,0.899,18,"2026-02-12"
"B4","Acartia hudsonica",1,0.0306868326275793,0.937,18,"2026-02-12"
"C1","Pseudocalanus",1,0.0511582923270184,0.995,18,"2026-02-12"
"C3","Pseudocalanus",1,0.0829836259606348,0.982,18,"2026-02-12"
"C4","Acartia hudsonica",1,0.0337803055549516,0.933,18,"2026-02-12"
"D1","Acartia hudsonica",1,0.0491812255238068,0.981,18,"2026-02-12"
"D3","Pseudocalanus",1,0.0509691096418712,0.97,18,"2026-02-12"
"A2","Acartia hudsonica",1,0.0340996523017981,0.919,17,"2026-03-09"
"A3","Acartia hudsonica",1,0.0877671145765915,0.942,17,"2026-03-09"
"B1","Acartia hudsonica",1,0.0501328155588112,0.962,17,"2026-03-09"
"B2","Pseudocalanus",1,0.129046595253253,0.981,17,"2026-03-09"
"B3","Pseudocalanus",1,0.0819392929251356,0.997,17,"2026-03-09"
"C1","Acartia hudsonica",1,0.0392369377498549,0.917,17,"2026-03-09"
"C2","Pseudocalanus",1,0.0949087743699844,0.814,17,"2026-03-09"
"C3","Acartia hudsonica",1,0.192628008903443,0.941,17,"2026-03-09"
"C4","Pseudocalanus",1,0.0999429152089985,0.995,17,"2026-03-09"
"D1","Pseudocalanus",1,0.1684130365889,0.972,17,"2026-03-09"
"A1","Pseudocalanus",1,-0.0271133734863502,0.924,19,"2026-03-09"
"A2","Pseudocalanus",1,0.0386552647881798,0.986,19,"2026-03-09"
"A3","Acartia hudsonica",1,0.0704859814734116,0.98,19,"2026-03-09"
"A4","Pseudocalanus",1,0.0477017527246028,0.977,19,"2026-03-09"
"B3","Acartia hudsonica",1,0.0604301279131341,0.954,19,"2026-03-09"
"C1","Pseudocalanus",1,0.0187639451610634,0.915,19,"2026-03-09"
"C2","Pseudocalanus",1,-0.0352999237781633,0.918,19,"2026-03-09"
"C4","Acartia hudsonica",1,0.0572911966712507,0.994,19,"2026-03-09"
"D2","Acartia hudsonica",1,0.0506841486350772,0.979,19,"2026-03-09"
"D4","Acartia hudsonica",1,0.122902610215236,0.936,19,"2026-03-09"
"A1","Acartia hudsonica",1,0.0789981244526792,0.994,24,"2026-03-09"
"A3","Acartia hudsonica",1,0.0758858931502018,0.995,24,"2026-03-09"
"B2","Acartia hudsonica",1,0.0716200311921713,0.995,24,"2026-03-09"
"B4","Acartia hudsonica",1,0.0369278665676842,0.988,24,"2026-03-09"
"C1","Acartia hudsonica",1,0.0562165062629931,0.975,24,"2026-03-09"
"C2","Acartia hudsonica",1,0.0767531706085922,0.99,24,"2026-03-09"
"D3","Acartia hudsonica",1,0.0687383881051153,0.968,24,"2026-03-09"
"D4","Acartia hudsonica",1,0.106582564195528,0.984,24,"2026-03-09"
"A2","Acartia hudsonica",1,0.0434623868912508,0.912,16,"2026-03-11"
"A3","Acartia hudsonica",1,0.0290391106253094,0.926,16,"2026-03-11"
"B1","Acartia hudsonica",1,0.0404726724517578,0.953,16,"2026-03-11"
"B2","Pseudocalanus",1,0.085377863481783,0.995,16,"2026-03-11"
"B3","Pseudocalanus",1,0.112798580762269,0.991,16,"2026-03-11"
"C1","Acartia hudsonica",1,0.0619715545688967,0.982,16,"2026-03-11"
"C2","Pseudocalanus",1,0.0910900645041322,0.973,16,"2026-03-11"
"C3","Acartia hudsonica",1,0.0556726797880991,0.796,16,"2026-03-11"
"C4","Pseudocalanus",1,0.0905473922183626,0.986,16,"2026-03-11"
"D1","Pseudocalanus",1,0.145313696637401,0.985,16,"2026-03-11"
"A1","Pseudocalanus",1,0.121858977335479,0.978,18,"2026-03-11"
"A2","Pseudocalanus",1,0.095089225404319,0.991,18,"2026-03-11"
"A3","Acartia hudsonica",1,0.0485699539943874,0.983,18,"2026-03-11"
"A4","Pseudocalanus",1,0.126537241229515,0.985,18,"2026-03-11"
"B3","Acartia hudsonica",1,0.0377371936561452,0.844,18,"2026-03-11"
"C1","Pseudocalanus",1,0.104240260483208,0.994,18,"2026-03-11"
"C2","Pseudocalanus",1,0.065913415803796,0.992,18,"2026-03-11"
"C4","Acartia hudsonica",1,0.094073166161617,0.984,18,"2026-03-11"
"D2","Acartia hudsonica",1,0.0650128623736768,0.988,18,"2026-03-11"
"D4","Acartia hudsonica",1,0.0528691776234421,0.981,18,"2026-03-11"
"A1","Acartia hudsonica",1,0.0929559757205412,0.946,23,"2026-03-11"
"A3","Acartia hudsonica",1,0.0846150627918272,0.984,23,"2026-03-11"
"B2","Acartia hudsonica",1,0.0700800849798878,0.995,23,"2026-03-11"
"B4","Acartia hudsonica",1,0.073962651869155,0.998,23,"2026-03-11"
"C1","Acartia hudsonica",1,0.092122522979484,0.99,23,"2026-03-11"
"C2","Acartia hudsonica",1,0.066901447330913,0.994,23,"2026-03-11"
"D3","Acartia hudsonica",1,0.0817092458970073,0.999,23,"2026-03-11"
"D4","Acartia hudsonica",1,0.0634832763503859,0.995,23,"2026-03-11"
